# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.9.2

arena1mobs, long, 0000000000000019
arena2mobs, long, 000000000000000F
arena2mobsg, long, 0000000000000007
arena3mobs, long, 0000000000000032
arena3mobsg, long, 0000000000000001
locationarena1::1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04D929DB7F23FC80179094047800000000000017A09405C4262CE8177B605706974636808C19F99090379617708C32D4083
locationarena1::2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04D5D6FF974C6B50179094047800000000000017A09405C5FD19C341D8905706974636808C1A4666D0379617708C32F5928
locationarena1::3, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C05213AABA13C17D0179094048000000000000017A09405A4B1AC70F924005706974636808C190001B0379617708C2F5FF10
locationarena1::4, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C055A0529E0777DF017909404A000000000000017A094059DE7DD2C24EF5057069746368084138CCC20379617708C2589820
locationarena1::5, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C054F7A6768F016A0179094049000000000000017A09405F23BBBA2655A70570697463680840B1997A0379617708C2E798A0
locationarena1::6, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C053B0152DFF4DA60179094048000000000000017A09405CE0E70098F0EB05706974636808404999320379617708C2C81890
locationarena1::7, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C050B51AFB91C6990179094047800000000000017A09405E429DF5B0D95805706974636808C12F334D0379617708C31DA5F0
locationarena1::8, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0493EF9618D43980179094048000000000000017A09405F2705C24EC74E05706974636808BFC000F90379617708431FC080
locationarena1::9, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04329DB919201B10179094048000000000000017A09405DDF27CC9AB07705706974636808C090003A03796177084304E700
locationarena1::10, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03C8439DF52FDE60179094049800000000000017A09405B5CEF8B293CC70570697463680841AA6660037961770842D16730
locationarena1::11, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03CBF0E83F6A54C0179094049800000000000017A09405F64A061D86B0905706974636808C235CCCF0379617708C2D3CBF0
locationarena1::12, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0432B0DEF2A2FF70179094048800000000000017A09406077681A99A7FC057069746368083E999AEA0379617708431733C0
locationarena1::13, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0499A0D366F01480179094048800000000000017A094061054A9139FE2805706974636808BE199690037961770843244088
locationarena1::14, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04ECB8556C1375A0179094048800000000000017A0940613B7BF919E19D057069746368083FACCD280379617708C31DA5A8
locationarena1::15, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C051532627E5A2E50179094048000000000000017A094060F8EAD012097E057069746368083E199B550379617708C3167260
locationarena1::16, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C053613BB38171EB0179094048800000000000017A094061365F76B80E8E057069746368083FC000400379617708C3158BC0
locationarena1::17, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C05538CB57EDA1210179094049800000000000017A094062124C946921750570697463680840D333420379617708C2F7CB20
locationarena1::18, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0539304A89AB0B6017909404A800000000000017A094062D32A7B28A65905706974636808412CCCE20379617708C312B278
locationarena1::19, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0501A72134658BB017909404A800000000000017A094062AB1C3E1588F50570697463680840EFFFDF0379617708432F80F0
locationarena1::20, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C05063A67A2636730179094049000000000000017A094061EB67F14ECCD805706974636808BE999B4C0379617708C333FEF0
locationarena1::21, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04B7B4D4858D20F0179094049000000000000017A094061B0C3495A60B0057069746368083E9997EC0379617708432C0DC8
locationarena1::22, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C04A4E9385C86E030179094049800000000000017A0940628F2833E7382C05706974636808403666360379617708C32CF238
locationarena1::23, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C046B2C4FEDAC91C017909404B000000000000017A094062EFD5C735D9ED05706974636808413B33330379617708C31FBEF0
locationarena1::24, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C041D51E71FA0605017909404C800000000000017A094062749F2DFF39C605706974636808419C000B0379617708C3323248
locationarena1::25, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C03C98777CFD7D57017909404C000000000000017A0940618DCB0361DDA905706974636808420D0004037961770843079AB8
locationarena1::26, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C053619FAFC910CE017909404D800000000000017A0940616FC8D7183C1305706974636808410199940379617708C3278BD8
